Film,U.S. release date,Box office gross Domestic (U.S. and Canada ),Box office gross Other territories,Box office gross Worldwide,Budget,MCU,Phase,Distributor,MPAA Rating,Length,Minutes,Franchise,Character Family,Domestic %,Gross to Budget,Rotten Tomatoes Critic Score,Male/Female-led,Year,Inflation Adjusted Worldwide Gross,Inflation Adjusted Budget,2.5x prod,Break Even
Superman,15/12/1978,"$134,478,449.00","$166,000,000.00","$300,478,449.00","$55,000,000.00",FALSE,NA,Warner Bros.,PG,02:23:00,143,DC,Superman,45%,5.46,94,Male,1978,"$1,404,237,104.00","$257,033,544.00","$137,500,000.00",Success
Superman II,19/06/1981,"$108,185,706.00","$108,200,000.00","$216,385,706.00","$54,000,000.00",FALSE,NA,Warner Bros.,PG,02:07:00,127,DC,Superman,50%,4.01,83,Male,1981,"$725,336,273.00","$181,010,842.00","$135,000,000.00",Success
Superman III,17/06/1983,"$59,950,623.00","$20,300,000.00","$80,250,623.00","$39,000,000.00",FALSE,NA,Warner Bros.,PG,02:05:00,125,DC,Superman,75%,2.06,29,Male,1983,"$245,506,947.00","$119,310,861.00","$97,500,000.00",Flop
Supergirl,21/11/1984,"$14,296,438.00",,"$14,296,438.00","$35,000,000.00",FALSE,NA,Tri-Star Pictures,PG,02:04:00,124,DC,Superman,100%,0.41,8,Female,1984,"$41,926,345.00","$102,642,497.00","$87,500,000.00",Flop
Howard the Duck,01/08/1986,"$16,295,774.00","$21,667,000.00","$37,962,774.00","$37,000,000.00",FALSE,NA,Universal Pictures,PG,01:50:00,110,Marvel,Howard the Duck,43%,1.03,13,Male,1986,"$37,962,774.00","$37,000,000.00","$92,500,000.00",Flop
Superman IV: The Quest for Peace,24/07/1987,"$15,681,020.00","$14,600,000.00","$30,281,020.00","$17,000,000.00",FALSE,NA,Warner Bros.,PG,01:30:00,90,DC,Superman,52%,1.78,10,Male,1987,"$81,220,728.00","$45,597,948.00","$42,500,000.00",Flop
The Return of Swamp Thing,12/05/1989,"$192,816.00","$82,112.00","$274,928.00","$3,000,000.00",FALSE,NA,Millimeter Films,PG-13,01:28:00,88,DC,Swamp Thing,70%,0.09,44,Male,1989,"$675,573.00","$7,371,813.00","$7,500,000.00",Flop
Batman,23/06/1989,"$251,409,241.00","$160,160,000.00","$411,569,241.00","$35,000,000.00",FALSE,NA,Warner Bros.,PG-13,02:06:00,126,DC,Batman,61%,11.76,76,Male,1989,"$1,011,337,092.00","$86,004,479.00","$87,500,000.00",Success
The Punisher,05/10/1989,$0.00,"$30,000,000.00","$30,000,000.00","$9,000,000.00",FALSE,NA,New World International,R,01:29:00,89,Marvel,Punisher,0%,3.33,25,Male,1989,"$30,000,000.00","$9,000,000.00","$22,500,000.00",Success
Batman Returns,19/06/1992,"$162,924,631.00","$104,010,057.00","$266,934,688.00","$80,000,000.00",FALSE,NA,Warner Bros.,PG-13,02:06:00,126,DC,Batman,61%,3.34,81,Male,1992,"$579,725,033.00","$173,742,884.00","$200,000,000.00",Success
Batman: Mask of the Phantasm,25/12/1993,"$5,635,204.00","$213,000.00","$5,848,204.00","$5,600,000.00",FALSE,NA,Warner Bros.,PG,01:16:00,76,DC,Batman,96%,1.04,82,Male,1993,"$12,331,882.00","$11,808,504.00","$14,000,000.00",Flop
Batman Forever,16/06/1995,"$184,069,126.00","$152,498,032.00","$336,567,158.00","$100,000,000.00",FALSE,NA,Warner Bros.,PG-13,02:01:00,121,DC,Batman,55%,3.37,40,Male,1995,"$672,916,968.00","$199,935,422.00","$250,000,000.00",Success
Batman & Robin,20/06/1997,"$107,353,792.00","$130,900,196.00","$238,253,988.00","$125,000,000.00",FALSE,NA,Warner Bros.,PG-13,02:05:00,125,DC,Batman,45%,1.91,11,Male,1997,"$452,313,815.00","$237,306,529.00","$312,500,000.00",Flop
Steel,15/08/1997,"$1,710,972.00","$91,000.00","$1,801,972.00","$16,000,000.00",FALSE,NA,Warner Bros.,PG-13,01:37:00,97,DC,Superman,95%,0.11,12,Male,1997,"$3,420,958.00","$30,375,236.00","$40,000,000.00",Flop
Blade,21/08/1998,"$70,087,718.00","$61,123,659.00","$131,211,377.00","$45,000,000.00",FALSE,NA,New Line Cinema,R,02:00:00,120,Marvel,Blade,53%,2.92,58,Male,1998,"$131,211,377.00","$45,000,000.00","$112,500,000.00",Success
X-Men,14/07/2000,"$157,299,718.00","$139,039,810.00","$296,339,528.00","$75,000,000.00",FALSE,NA,Twentieth Century Fox,PG-13,01:44:00,104,Marvel,X-Men,53%,3.95,82,Male,2000,"$296,339,528.00","$75,000,000.00","$187,500,000.00",Success
Blade II,22/03/2002,"$82,348,319.00","$72,661,713.00","$155,010,032.00","$54,000,000.00",FALSE,NA,New Line Cinema,R,01:57:00,117,Marvel,Blade,53%,2.87,57,Male,2002,"$155,010,032.00","$54,000,000.00","$135,000,000.00",Success
Spider-Man,03/05/2002,"$407,022,860.00","$418,002,176.00","$825,025,036.00","$139,000,000.00",FALSE,NA,Sony Pictures Entertainment ,PG-13,02:01:00,121,Marvel,Spider-Man,49%,5.94,90,Male,2002,"$825,025,036.00","$139,000,000.00","$347,500,000.00",Success
